# GSE103092.analysis.more.ids3.Rmd 
# 1593285614 
# Input file: geo.datasets/GSE103092/GSE103092.txt 
"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"
"A_33_P3238969"	0.8233409	0.418	0.8367582	-5.870701	0.437213	"ONECUT3"
"A_33_P3320563"	0.9772332	0.891	-0.1392604	-6.213983	-0.0497323	"GLOD5"
"A_23_P88776"	0.7488918	0.278	1.1350842	-5.588587	0.5690164	"PRSS54"
"A_23_P39050"	0.9914666	0.966	0.0440515	-6.223037	0.0208622	"ZNF823"
"A_23_P160214"	0.9579366	0.816	-0.2372758	-6.194881	-0.079962	"TTC39A"
"A_33_P3245631"	0.7173896	0.234	-1.2504345	-5.460896	-0.308616	"TTC39A"
"A_23_P377434"	0.531179	0.0745	-1.9455978	-4.516571	-0.3793283	"TNRC18"
"A_33_P3209214"	0.9636729	0.837	-0.2096878	-6.201257	-0.0516216	"TNRC18"
"A_33_P3306159"	0.6871729	0.195	-1.3690051	-5.319863	-0.3746071	"TNRC18"
"A_33_P3321507"	0.8140452	0.395	0.8804242	-5.834021	0.1835629	"TNRC18"
"A_33_P3326914"	0.949982	0.783	0.2812551	-6.183107	0.077605	"RGP1"
"A_32_P129894"	0.8193813	0.408	-0.855667	-5.85502	-0.4863575	"MEGF9"
"A_24_P75460"	0.9557777	0.807	0.2495097	-6.191804	0.0533787	"VWC2L"
"A_23_P1956"	0.689189	0.197	-1.3634894	-5.326633	-0.2580184	"TMEM223"
"A_24_P75920"	0.6660382	0.174	-1.4432464	-5.226834	-0.4231995	"CCDC159"
"A_33_P3374087"	0.8948857	0.582	0.5652536	-6.060314	0.1169185	"RBM44"
"A_33_P3301351"	0.7565748	0.292	1.0995424	-5.625936	0.3234076	"RBM44"
"A_23_P41476"	0.9782538	0.897	-0.1316736	-6.215049	-0.0272161	"SHISA3"
"A_23_P110412"	0.4869838	0.0547	-2.1191592	-4.24477	-0.4388	"TMEM150C"
"A_32_P14762"	0.7466861	0.274	1.1432935	-5.579824	0.3335413	"OOEP"
"A_23_P134041"	0.8188661	0.407	0.8585185	-5.852628	0.3376636	"TBX18"
"A_33_P3211679"	0.9524342	0.792	-0.2693307	-6.186494	-0.0491623	"TSPAN11"
"A_23_P76136"	0.9705447	0.868	-0.1700896	-6.209042	-0.0574304	"TSPAN11"
"A_23_P42931"	0.9835206	0.923	-0.0988489	-6.218973	-0.026105	"CLEC2L"
"A_33_P3293913"	0.9366526	0.725	0.3591663	-6.157422	0.4105822	"BICC1"
"A_24_P137461"	0.7274906	0.246	-1.2185164	-5.497197	-0.2273351	"CPN2"
"A_33_P3212356"	0.6378919	0.147	-1.5450087	-5.093797	-0.2398375	"FAM163B"
"A_33_P3421978"	0.9173417	0.656	0.4562856	-6.116871	0.0994	"GRXCR2"
"A_24_P944427"	0.9275032	0.689	0.4102615	-6.137259	0.1359115	"SETD5"
"A_23_P92035"	0.9860724	0.936	-0.0821394	-6.220543	-0.0270768	"SETD5"
"A_33_P3376434"	0.8881395	0.564	0.5933624	-6.043864	0.1880911	"SETD5"
"A_33_P3262510"	0.8677424	0.511	0.6758815	-5.991252	0.1631677	"LIPK"
"A_23_P49539"	0.9041627	0.612	0.5199201	-6.085246	0.1904586	"BAHCC1"
"A_33_P3345350"	0.7374087	0.26	1.1810087	-5.538916	0.2205379	"DRGX"
"A_33_P3412143"	0.8136273	0.394	-0.8828876	-5.831902	-0.1747922	"RASSF10"
"A_33_P3399634"	0.9231264	0.674	0.4304879	-6.128557	0.0957835	"RASSF10"
"A_23_P413285"	0.8660673	0.508	-0.6820706	-5.98705	-0.2329299	"CC2D2A"
"A_23_P348383"	0.3564358	0.0203	-2.6573877	-3.346093	-0.9553974	"CC2D2A"
"A_32_P30271"	0.8535726	0.482	-0.7239758	-5.957666	-0.2109929	"ARRDC5"
"A_33_P3295690"	0.8016828	0.373	-0.9242725	-5.795544	-0.1641278	"C16orf90"
"A_33_P3258542"	0.6648816	0.172	-1.4484929	-5.220128	-0.5562944	"SPINK8"
"A_33_P3348348"	0.7866065	0.346	0.9800667	-5.744252	0.2419063	"FABP9"
"A_23_P209799"	0.5149431	0.067	-2.0060384	-4.423192	-0.475076	"MYO7B"
"A_33_P3243345"	0.9596784	0.822	-0.2302676	-6.196575	-0.0649893	"C3orf84"
"A_32_P3914"	0.9988292	0.994	0.0075204	-6.224015	0.0057436	"WIPF3"
"A_33_P3236436"	0.7868454	0.346	0.9794652	-5.744819	0.2857704	"C4orf51"
"A_33_P3318681"	0.921553	0.67	-0.4357006	-6.126249	-0.10508	"TMC3"
"A_33_P3274478"	0.6817927	0.19	-1.384946	-5.300186	-0.3991101	"UNC119B"
"A_23_P87827"	0.9919439	0.969	-0.0401869	-6.223206	-0.0082337	"UNC119B"
"A_33_P3423585"	0.6457249	0.154	-1.5189403	-5.128463	-0.5033736	"UNC13C"
"A_23_P92120"	0.9373849	0.729	-0.3548957	-6.158989	-0.1329144	"SNTN"
"A_33_P3380992"	0.7529405	0.285	1.1160634	-5.608695	0.396297	"AKR1B15"
"A_24_P157156"	0.9845902	0.928	0.0915717	-6.219692	0.0411268	"CCDC150"
"A_33_P3330323"	0.5677903	0.0978	1.789587	-4.750565	0.5992798	"MGA"
"A_33_P3324065"	0.8420101	0.458	-0.7660916	-5.926522	-0.1901104	"FBF1"
"A_24_P87458"	0.9445897	0.756	-0.3174494	-6.171939	-0.0777011	"FBF1"
"A_32_P66364"	0.697645	0.208	-1.3269963	-5.370919	-0.6601428	"PPP1R1C"
"A_23_P1676"	0.7592035	0.296	-1.0909297	-5.634842	-0.2894018	"TMEM218"
"A_33_P3489646"	0.5029858	0.0621	2.0483747	-4.356954	0.5870867	"SPI1"
"A_33_P3238415"	0.8813132	0.547	-0.6197006	-6.027768	-0.5432478	"GSG1"
"A_33_P3405285"	0.4817366	0.053	2.1367163	-4.21668	1.163477	"GSG1"
"A_23_P90079"	0.6704721	0.177	-1.4297447	-5.244012	-0.5211246	"ZNF799"
"A_23_P56703"	0.9565698	0.811	-0.2445742	-6.193064	-0.1465909	"TRABD2A"
"A_23_P255896"	0.8284382	0.428	-0.8193812	-5.884836	-0.2273449	"TRABD2A"
"A_33_P3388482"	0.4962518	0.0591	-2.0758574	-4.313606	-0.5356372	"TMEM120B"
"A_33_P3403598"	0.6492085	0.157	-1.5039249	-5.14825	-0.3905941	"TMEM120B"
"A_24_P119131"	0.4416601	0.0377	-2.3242443	-3.910742	-0.8176454	"TMEM120B"
"A_23_P250212"	0.3814912	0.0245	-2.5571491	-3.518291	-1.7819029	"PRAG1"
"A_33_P3418710"	0.9586388	0.819	-0.2336284	-6.195769	-0.0468901	"PRAMEF12"
"A_24_P178300"	0.9127796	0.64	0.4786783	-6.106194	0.1026879	"PRR21"
"A_32_P175715"	0.787318	0.347	-0.9775176	-5.746652	-0.2980053	"MEIG1"
"A_33_P3309506"	0.7751271	0.324	1.0261788	-5.699935	0.3026415	"SEBOX"
"A_33_P3289045"	0.8522498	0.48	-0.7283615	-5.954498	-0.2288876	"GSTT2B"
"A_33_P3358403"	0.6671619	0.175	-1.439209	-5.231982	-0.3707721	"DNLZ"
"A_33_P3243264"	0.612018	0.125	-1.6442331	-4.958335	-0.409608	"DNLZ"
"A_24_P349196"	0.6462403	0.155	1.5152742	-5.133307	0.9125908	"CCDC30"
"A_33_P3412798"	0.9990877	0.996	0.0056209	-6.224028	0.001757	"FRG2B"
"A_33_P3219939"	0.6578975	0.166	-1.4716522	-5.190324	-0.4561365	"CUBN"
"A_24_P177353"	0.8825364	0.55	0.6151151	-6.030618	0.1030016	"THOC2"
"A_33_P3235690"	0.5564163	0.0897	1.8392698	-4.677209	0.4947168	"THOC2"
"A_33_P3358815"	0.833817	0.44	-0.7978974	-5.901945	-0.2407944	"DEFB103A"
"A_33_P3251369"	0.9008112	0.602	0.5347922	-6.077285	0.2602676	"GAB3"
"A_33_P3288491"	0.9557777	0.807	-0.2494907	-6.191809	-0.0949351	"KLHL38"
"A_33_P3359017"	0.9703812	0.866	0.1716147	-6.208772	0.0514881	"CYP4F2"
"A_23_P50710"	0.9400316	0.738	-0.3416819	-6.16372	-0.1046105	"CYP4F2"
"A_33_P3209030"	0.8094523	0.387	-0.8959538	-5.82058	-0.2666316	"ZNF623"
"A_33_P3209025"	0.9349807	0.714	-0.3748836	-6.151498	-0.1104902	"ZNF623"
"A_33_P3359071"	0.8036064	0.375	0.9194454	-5.799859	0.2265987	"ACD"
"A_33_P3383436"	0.5362874	0.0781	-1.9186312	-4.557763	-0.4679591	"DHRS4L1"
"A_33_P3359368"	0.9660526	0.848	0.1952069	-6.204291	0.0954095	"DHRS4L1"
"A_33_P3210965"	0.2019003	0.00448	-3.4574825	-1.937877	-1.139386	"TCTN1"
"A_33_P3316953"	0.811733	0.391	-0.8883252	-5.827208	-0.3370394	"RBFOX3"
"A_23_P141180"	0.7050314	0.217	-1.2987645	-5.404567	-0.2358827	"TOM1L2"
"A_23_P337155"	0.96288	0.834	-0.2144043	-6.200222	-0.0525234	"TOM1L2"
"A_33_P3378790"	0.7493694	0.279	1.1312041	-5.592711	0.2295356	"CASC1"
"A_33_P3378514"	0.9714387	0.87	0.1669409	-6.209591	0.0887695	"PDE5A"
"A_33_P3354569"	0.7353711	0.256	1.1899211	-5.529096	0.3284337	"GPD2"
"A_33_P3354564"	0.1704042	0.003	3.6699825	-1.562468	0.8155622	"GPD2"
"A_33_P3217364"	0.8263992	0.423	-0.8279775	-5.877877	-0.4406646	"SPATA31A3"
"A_33_P3382403"	0.9028919	0.609	0.5241839	-6.082985	0.2192163	"SPATA31A3"
"A_33_P3307568"	0.7860786	0.345	-0.9821857	-5.742253	-0.2143471	"PYDC2"
"A_33_P3308905"	0.5603981	0.0935	-1.8151508	-4.712962	-0.348352	"CEP57L1"
"A_33_P3628675"	0.4003057	0.0287	-2.4716204	-3.663776	-0.8120046	"FAM86B1"
"A_33_P3628675"	0.4003057	0.0287	-2.4716204	-3.663776	-0.8120046	""
"A_24_P410017"	0.3667565	0.0219	-2.6153051	-3.41859	-0.6377089	"POTEE"
"A_24_P825874"	0.7552529	0.289	1.106979	-5.618201	0.3684782	"POTEE"
"A_24_P410605"	0.4917094	0.0577	-2.0899923	-4.291207	-0.4938362	"ROR1"
"A_33_P3424267"	0.7854731	0.344	-0.9840233	-5.740517	-0.2609298	"NAA60"
"A_33_P3424272"	0.8945082	0.581	0.566909	-6.059366	0.0966951	"NAA60"
"A_24_P106910"	0.8827879	0.551	-0.6131392	-6.031839	-0.146499	"PTCH1"
"A_33_P3415410"	0.7514236	0.282	-1.1236836	-5.600672	-0.2855698	"PTCH1"
"A_33_P3257538"	0.7166124	0.233	1.2533721	-5.457519	0.2094247	"HYKK"
"A_23_P152353"	0.8670988	0.51	-0.6777012	-5.99002	-0.2647892	"EARS2"
"A_23_P387523"	0.7517166	0.283	1.1228109	-5.601593	0.1911595	"ZBTB40"
"A_33_P3275000"	0.3793546	0.0239	2.5700703	-3.496191	0.6565883	"ZBTB40"
"A_33_P3461416"	0.8230556	0.418	-0.8383268	-5.869412	-0.1793717	"GP6"
"A_33_P3461416"	0.8230556	0.418	-0.8383268	-5.869412	-0.1793717	""
"A_33_P3379801"	0.9150471	0.648	0.467691	-6.111494	0.0854877	"DNAAF2"
"A_23_P327605"	0.8906416	0.569	-0.5852462	-6.048691	-0.1283182	"ADGRA1"
"A_23_P203391"	0.7777429	0.329	-1.0167357	-5.70915	-0.4874356	"ASRGL1"
"A_24_P101786"	0.9640729	0.839	0.2076267	-6.201702	0.0373902	"THADA"
"A_23_P345081"	0.9868823	0.943	0.0727574	-6.221297	0.0207127	"ZNF655"
"A_33_P3254606"	0.6545684	0.163	-1.4836975	-5.174694	-0.4762331	"WDR62"
"A_24_P41975"	0.4311289	0.0352	-2.3609128	-3.849779	-0.8590736	"TDRKH"
"A_23_P168788"	0.9556184	0.807	-0.2499558	-6.191689	-0.0748559	"PLOD3"
"A_33_P3340205"	0.8527317	0.481	-0.7266841	-5.955712	-0.1972132	"DDTL"
"A_23_P2920"	0.8417305	0.456	-0.7695404	-5.923901	-0.2643819	"SERPINA3"
"A_23_P162918"	0.5757441	0.102	1.7621125	-4.790636	0.4016318	"SERPINA3"
"A_33_P3399788"	0.7612436	0.301	-1.0798664	-5.646196	-0.2236152	"SERPINA3"
"A_33_P3403748"	0.6002208	0.116	-1.6871779	-4.898059	-0.2751393	"UQCC3"
"A_23_P103511"	0.9835206	0.923	0.0990484	-6.218953	0.0337998	"C1orf226"
"A_33_P3288246"	0.9341495	0.712	0.3782764	-6.150187	0.136568	"MCC"
"A_33_P3382999"	0.9240122	0.677	0.4264489	-6.130327	0.1065205	"PSAPL1"
"A_33_P3383004"	0.7764969	0.327	-1.0204979	-5.705487	-0.4532565	"PSAPL1"
"A_33_P3360456"	0.83138	0.434	-0.8077077	-5.894183	-0.1823891	"ZNF154"
"A_33_P3233754"	0.5140195	0.0667	-2.0085263	-4.419318	-0.3588932	"ZNF154"
"A_33_P3360814"	0.7505725	0.281	1.1255671	-5.598682	0.1785291	"NFE4"
"A_33_P3218053"	0.6788708	0.186	1.3978997	-5.284074	0.386042	"TLX1NB"
"A_33_P3418000"	0.9076031	0.627	0.4988002	-6.096181	0.1270719	"RELL1"
"A_32_P116206"	0.8609348	0.498	-0.6980078	-5.976065	-0.1759026	"RELL1"
"A_24_P350303"	0.4407292	0.0374	-2.3278037	-3.904839	-0.557964	"C6orf201"
"A_33_P3233649"	0.7050433	0.218	1.2986321	-5.404723	0.9190404	"NADK2"
"A_33_P3321317"	0.5928042	0.112	-1.7114872	-4.863517	-0.3835616	"PLSCR5"
"A_24_P33982"	0.9108886	0.634	-0.487334	-6.101935	-0.2934783	"MILR1"
"A_24_P706953"	0.9456597	0.761	-0.3112276	-6.173954	-0.0949789	"TMEM213"
"A_24_P712562"	0.1775597	0.00327	3.6242732	-1.643052	1.5005741	"C17orf67"
"A_33_P3238636"	0.8390795	0.451	0.7786092	-5.916957	0.1711047	"CCDC173"
"A_33_P3215739"	0.6018946	0.118	-1.6810506	-4.906718	-0.5024655	"LNP1"
"A_33_P3635527"	0.9922862	0.97	-0.038621	-6.22327	-0.01329	"KRTAP24-1"
"A_24_P164998"	0.4579941	0.044	-2.2397984	-4.04978	-1.110781	"LYPD8"
"A_32_P152204"	0.9691659	0.86	0.1801741	-6.207212	0.0492843	"IQCF3"
"A_23_P145054"	0.9689295	0.858	0.1828253	-6.206714	0.0580754	"FAM162B"
"A_33_P3359518"	0.0816149	0.000662	4.4958458	-0.137056	0.98255	"MYSM1"
"A_33_P3401008"	0.9812236	0.911	0.1142356	-6.217273	0.0272011	"TMEM150B"
"A_23_P80570"	0.7671836	0.311	1.0564067	-5.669958	0.4209583	"AADAC"
"A_24_P653603"	0.5282605	0.0733	-1.955241	-4.501769	-0.3779154	"NDUFAF8"
"A_33_P3410935"	0.4189666	0.0322	-2.4091713	-3.769043	-0.4271877	"NDUFAF8"
"A_23_P56529"	0.8936153	0.577	0.572446	-6.056177	0.118101	"AAMP"
"A_23_P140876"	0.7761298	0.326	-1.0216444	-5.704369	-0.336338	"ABCA3"
"A_33_P3262351"	0.9491923	0.779	0.2871923	-6.181366	0.0838497	"C5orf49"
"A_23_P59452"	0.6399513	0.149	-1.5383037	-5.102751	-1.2418434	"AOC1"
"A_23_P87791"	0.8852283	0.558	-0.6022879	-6.038483	-0.1669629	"ACACB"
"A_33_P3334220"	0.6151742	0.128	-1.6317978	-4.975608	-1.4071362	"ACACB"
"A_32_P96036"	0.8449065	0.463	-0.7563147	-5.933895	-0.4262091	"MEX3A"
"A_33_P3358745"	0.6038444	0.119	-1.6733885	-4.917518	-1.7009478	"SELENOP"
"A_33_P3347343"	0.2557881	0.00815	-3.140495	-2.499414	-1.4594679	"CCDC102B"
"A_33_P3318861"	0.4570606	0.0432	2.2489065	-4.034879	0.4508621	"DYTN"
"A_33_P3303245"	0.4034976	0.0294	-2.4580162	-3.686781	-0.4560848	"KIT"
"A_33_P3415042"	0.9843404	0.927	0.0938097	-6.219477	0.0193827	"ACLY"
"A_21_P0014045"	0.6377792	0.147	-1.5452716	-5.093445	-0.3577878	"ACR"
"A_32_P191262"	0.4945188	0.0585	2.0818617	-4.304099	0.8957889	"ACR"
"A_33_P3382849"	0.7998682	0.369	0.9319033	-5.788681	0.1489595	"ACR"
"A_23_P11201"	0.3503055	0.0192	-2.6858063	-3.296981	-2.4118683	"GPR34"
"A_24_P271696"	0.9799541	0.905	0.12133	-6.216406	0.0277131	"XAGE1A"
"A_33_P3401262"	0.8610576	0.498	-0.6978405	-5.976182	-0.1300033	"KNCN"
"A_24_P383050"	0.8796408	0.543	0.6256731	-6.024027	0.1790729	"KNCN"
"A_33_P3361337"	0.9916227	0.967	0.0426019	-6.223102	0.0097547	"TMEM184A"
"A_33_P3334205"	0.9830352	0.921	0.1016926	-6.218678	0.0300299	"TMEM184A"
"A_33_P3282489"	0.5357556	0.0775	-1.9230284	-4.551067	-0.9956445	"GCNT1"
"A_33_P3294951"	0.3490763	0.019	2.6925464	-3.285315	1.5067895	"TAS2R30"
"A_23_P103149"	0.8827879	0.551	-0.6132418	-6.031776	-0.1528937	"ACO2"
"A_33_P3311210"	0.8032976	0.375	0.9202147	-5.799173	0.1896623	"BSX"
"A_33_P3421695"	0.9066739	0.622	0.5061931	-6.092402	0.2338961	"CTNNB1"
"A_33_P3245183"	0.9466603	0.765	-0.3052892	-6.17584	-0.1799791	"HRH1"
"A_33_P3394554"	0.5776955	0.103	1.7563634	-4.798976	0.3361336	"PRAMEF15"
"A_33_P3256933"	0.6342193	0.144	1.558428	-5.075798	0.4977716	"PRAMEF15"
"A_32_P20454"	0.4962518	0.0592	-2.0749607	-4.315024	-0.424526	"COPA"
"A_33_P3281066"	0.9070547	0.624	-0.5031064	-6.093986	-0.2616918	"ZBTB21"
"A_21_P0006496"	0.9491625	0.778	-0.2874709	-6.181284	-0.1063724	"GAGE2A"
"A_33_P3224380"	0.995939	0.984	0.0208439	-6.223819	0.0051329	"DLG1"
"A_23_P66487"	0.9421473	0.748	-0.3281901	-6.16837	-0.1256399	"SMARCD2"
"A_33_P3379967"	0.806185	0.381	0.9082944	-5.809753	0.458893	"HLA-F"
"A_33_P3420204"	0.986747	0.942	-0.0736426	-6.221229	-0.0341165	"CRTC1"
"A_33_P3331882"	0.8194217	0.409	0.8544132	-5.856069	0.1867511	"CRTC1"
"A_33_P3316394"	0.9609105	0.828	0.2225214	-6.198388	0.0682169	"ZNF419"
"A_33_P3404922"	0.5476019	0.0844	-1.8747503	-4.624144	-0.5246429	"KIAA1217"
"A_33_P3309561"	0.7640075	0.306	1.0684464	-5.657817	0.2054127	"PTPRJ"
"A_21_P0011747"	0.6963092	0.206	-1.3340187	-5.362466	-0.4622552	"CEACAM21"
"A_33_P3230350"	0.9139493	0.644	0.473071	-6.108914	0.0827187	"ZNF207"
"A_33_P3251984"	0.8419879	0.457	0.7671613	-5.92571	0.1362332	"MRGPRF"
"A_33_P3226775"	0.7004612	0.211	1.3175508	-5.382237	0.5869457	"MUC20"
"A_33_P3745146"	0.4246908	0.034	-2.3794463	-3.818839	-1.3611103	"CADM1"
"A_33_P3348318"	0.7986906	0.367	-0.9362693	-5.784733	-0.3711183	"ADGRF5"
"A_21_P0013634"	0.7344276	0.255	-1.1926245	-5.526106	-0.4967396	"ADGRF5"
"A_33_P3380944"	0.9334067	0.709	0.3815331	-6.148917	0.0696507	"ADGRF5"
"A_24_P307580"	0.4654134	0.0468	2.2058795	-4.105058	1.0027255	"HTATIP2"
"A_33_P3350259"	0.9524211	0.792	-0.2695848	-6.186424	-0.056675	"NIBAN3"
"A_32_P393316"	0.3428476	0.0181	-2.7178755	-3.241419	-0.4626123	"RAPGEF3"
"A_33_P3338047"	0.8616047	0.499	-0.6961683	-5.977345	-0.1519164	"PNPLA7"
"A_33_P3666884"	0.8025313	0.374	-0.922061	-5.797523	-0.5218988	"PNPLA7"
"A_33_P3382493"	0.7857567	0.344	0.9830487	-5.741438	0.169052	"SIGLEC14"
"A_33_P3382498"	0.6262888	0.137	1.5906649	-5.032144	0.9977248	"SIGLEC14"
"A_23_P140154"	0.8920211	0.572	0.5799611	-6.051801	0.2018221	"TMEM251"
"A_24_P703830"	0.7281784	0.246	1.2165554	-5.499403	0.7493581	"NANOS3"
"A_33_P3404546"	0.9312685	0.703	-0.3904974	-6.145368	-0.135536	"OBSCN"
"A_21_P0011731"	0.8816576	0.548	0.6174877	-6.029146	0.2113021	"ZNF98"
"A_23_P500271"	0.9150471	0.648	0.4676867	-6.111496	0.5648874	"IRF5"
"A_33_P3374076"	0.7932114	0.358	-0.95366	-5.768849	-0.1991906	"SEZ6"
"A_23_P350172"	0.5266596	0.0726	1.9602681	-4.494038	0.3092892	"RNF169"
"A_33_P3268919"	0.7725725	0.319	-1.0373789	-5.688912	-0.3010497	"SFTPA2"
"A_33_P3344574"	0.9051507	0.618	-0.5116756	-6.089566	-0.1117892	"SFTPA2"
"A_33_P3215043"	0.9634788	0.836	0.2118079	-6.200795	0.0670223	"HEPHL1"
"A_33_P3301709"	0.9237731	0.676	0.4280897	-6.12961	0.230652	"GNG4"
"A_32_P305020"	0.963298	0.835	0.2123801	-6.200669	0.0749331	"GNG4"
"A_24_P839254"	0.9666656	0.85	-0.1928268	-6.204769	-0.0347464	"RPP14"
"A_33_P3220612"	0.8501755	0.476	0.7344799	-5.950049	0.1572151	"FAM89B"
"A_33_P3225882"	0.8464771	0.468	0.7483169	-5.939862	0.1468741	"BET1L"
"A_24_P898945"	0.6100835	0.124	-1.6513826	-4.948368	-0.3282263	"FAM210A"
"A_33_P3219641"	0.4783481	0.0511	-2.1569097	-4.184247	-0.5645349	"CEP78"
"A_32_P48949"	0.9296861	0.694	0.4023036	-6.140571	0.0858014	"C9orf129"
"A_33_P3240115"	0.3739577	0.0232	-2.5865608	-3.467942	-0.6979283	"SEPTIN8"
"A_23_P144807"	0.5184999	0.0692	-1.9879705	-4.451256	-0.7796307	"SEPTIN8"
"A_33_P3346073"	0.3689783	0.0223	-2.6058082	-3.434911	-0.6414896	"SRL"
"A_33_P3327265"	0.7035841	0.216	1.3034224	-5.399053	0.2830824	"TESPA1"
"A_24_P342312"	0.8243174	0.42	0.8341853	-5.87281	0.2536712	"TENM4"
"A_33_P3363620"	0.7563392	0.291	-1.1019858	-5.6234	-0.4460727	"TMEM91"
"A_24_P309069"	0.9095062	0.631	0.4923067	-6.099455	0.1866174	"GBX1"
"A_33_P3312499"	0.8847087	0.556	0.6053286	-6.036633	0.1868452	"MS4A15"
"A_33_P3271684"	0.4532942	0.0418	2.2673502	-4.004633	0.6526433	"TMEM236"
"A_33_P3382031"	0.9486877	0.777	-0.2889021	-6.180858	-0.0945166	"TMEM236"
"A_21_P0014009"	0.7659612	0.308	-1.0616705	-5.664664	-0.2535082	"TMEM236"
"A_24_P37589"	0.6373719	0.147	-1.5473526	-5.09066	-0.9053089	"ACP3"
"A_24_P46130"	0.5564163	0.0898	-1.8385185	-4.678327	-1.3078323	"ACP3"
"A_33_P3306085"	0.8343941	0.441	0.7964744	-5.903064	0.1392814	"RAD51AP2"
"A_33_P3340649"	0.9608657	0.827	0.2231089	-6.198253	0.1010277	"KRTAP19-8"
"A_24_P333421"	0.994155	0.978	-0.0287248	-6.223616	-0.011616	"ZNF862"
"A_33_P3380383"	0.7739945	0.322	1.0304973	-5.695697	1.0695201	"TIFAB"
"A_33_P3276585"	0.9701563	0.866	0.1724297	-6.208626	0.0461076	"IFT74"
"A_32_P194779"	0.6492085	0.157	-1.5040408	-5.148098	-0.3068858	"ZBTB34"
"A_33_P3261182"	0.6235868	0.135	-1.5988415	-5.02098	-0.3718215	"POC5"
"A_33_P3293403"	0.8670988	0.51	0.6776442	-5.990059	0.1834196	"FOXD4L4"
"A_33_P3369885"	0.6484683	0.157	-1.5071928	-5.143955	-0.3783357	"MROH1"
"A_33_P3219803"	0.8281118	0.427	-0.8210444	-5.883495	-0.1246936	"PTMA"
"A_33_P3346403"	0.8609348	0.498	-0.698235	-5.975907	-0.111531	"PTMA"
"A_21_P0013910"	0.7761298	0.326	-1.0218396	-5.704178	-0.1732043	"PTMA"
"A_33_P3223909"	0.9941236	0.977	0.0291478	-6.223603	0.0065729	"SH3RF3"
"A_24_P589266"	0.6404042	0.15	-1.5349264	-5.107251	-0.3268293	"SH3RF3"
"A_24_P57993"	0.8317397	0.435	0.8060134	-5.89553	0.3618887	"SHISAL1"
"A_32_P37867"	0.6581384	0.166	1.4709216	-5.19127	0.5041758	"SHISAL1"
"A_32_P199462"	0.5321996	0.075	1.9418234	-4.522354	0.5525069	"C2orf80"
"A_32_P799227"	0.9474008	0.77	0.2985381	-6.17794	0.0950484	"NUTM2A"
"A_33_P3308862"	0.8816576	0.548	-0.6171851	-6.029334	-0.1091118	"NUTM2A"
"A_33_P3229617"	0.5564163	0.0896	1.8403802	-4.675557	0.5047245	"SGCE"
"A_24_P348925"	0.5484224	0.0848	1.8716662	-4.628779	0.7781799	"CCNK"
"A_23_P3186"	0.4983739	0.0604	2.0640455	-4.332269	0.4055368	"CCNK"
"A_33_P3350547"	0.8906209	0.568	0.5860252	-6.048231	0.1470131	"SCN5A"
"A_23_P40315"	0.8518242	0.479	-0.7295272	-5.953653	-0.3645877	"DZANK1"
"A_33_P3375516"	0.8573611	0.489	-0.7127233	-5.965715	-0.3386961	"EIF4E1B"
"A_23_P148121"	0.9442226	0.755	0.3190163	-6.171426	0.0633955	"EHBP1L1"
"A_33_P3287735"	0.986747	0.943	0.0735348	-6.221238	0.0206922	"KAT6A"
"A_33_P3246028"	0.7817579	0.337	0.9994436	-5.725839	0.2320291	"DCDC2B"
"A_32_P177040"	0.9260843	0.684	0.416715	-6.134527	0.1286465	"SPDYE5"
"A_23_P206107"	0.7881066	0.349	-0.9739615	-5.74999	-0.1984295	"ULK3"
"A_33_P3389298"	0.9767264	0.89	0.1416184	-6.21364	0.1367989	"ZNF30"
"A_24_P930741"	0.7815423	0.335	-1.0018707	-5.723511	-0.2074282	"EPHA10"
"A_23_P352799"	0.9855423	0.932	-0.0872815	-6.22009	-0.0383784	"NPW"
"A_23_P143958"	0.900974	0.603	-0.5336822	-6.077887	-0.106575	"RPL22L1"
"A_33_P3237110"	0.6658179	0.173	-1.4449452	-5.224664	-0.455903	"GPR137C"
"A_21_P0011081"	0.7097047	0.224	-1.278509	-5.428372	-0.630824	"FAM86C1"
"A_33_P3209915"	0.3644478	0.0215	2.6269852	-3.398497	0.4853302	"PTAR1"
"A_24_P75158"	0.8628999	0.501	0.6926965	-5.979752	0.2082585	"PTAR1"
"A_33_P3217639"	0.7384622	0.261	-1.1761723	-5.544221	-0.6757884	"ARMS2"
"A_19_P00800114"	0.816443	0.4	-0.8715834	-5.84158	-0.2636976	"HIGD1A"
"A_24_P548866"	0.3979266	0.0281	-2.4828781	-3.64471	-1.0468371	"HIGD1A"
"A_33_P3330811"	0.6403299	0.149	-1.5365616	-5.105073	-0.5597768	"RBIS"
"A_33_P3422258"	0.9742942	0.881	-0.1528823	-6.211921	-0.0381555	"RBIS"
"A_32_P190049"	0.8738281	0.527	-0.6511301	-6.007704	-0.2315001	"LRRC58"
"A_33_P3278573"	0.4300825	0.0351	-2.3633767	-3.84567	-0.4951986	"MAGIX"
"A_33_P3411414"	0.9635255	0.836	0.2113232	-6.200901	0.090057	"FAM156B"
"A_33_P3265504"	0.221715	0.00566	-3.3332769	-2.157913	-0.5552849	"EIF5AL1"
"A_33_P3345132"	0.7929456	0.358	0.9552975	-5.767341	0.3123823	"ZNF578"
